idx,attr_a,attr_b,attr_c
0,3,c,yes
1,4,d,yes
2,5,d,yes
3,5,b,no
4,1,c,no
5,5,b,yes
6,1,d,no
7,3,c,no
8,3,c,yes
9,4,d,yes
10,1,c,yes
11,5,b,yes
12,2,a,yes
13,4,d,yes
14,1,b,yes
15,5,c,no
16,5,d,no
17,5,d,yes
18,2,c,no
19,1,a,no
20,1,d,yes
21,1,b,yes
22,1,b,yes
23,5,c,yes
24,1,c,yes
25,5,b,yes
26,5,d,yes
27,1,b,yes
28,4,b,yes
29,1,c,yes
30,3,c,no
31,5,d,yes
32,1,d,no
33,1,c,yes
34,3,d,yes
35,5,d,no
36,1,d,yes
37,3,c,no
38,1,c,no
39,1,a,yes
40,3,b,no
41,1,c,no
42,4,a,yes
43,1,a,yes
44,1,d,yes
45,3,c,yes
46,3,c,yes
47,1,b,no
48,5,c,yes
49,1,b,yes
50,1,a,yes
51,1,c,yes
52,1,c,yes
53,2,d,no
54,1,c,yes
55,1,b,yes
56,1,d,no
57,4,b,yes
58,1,c,no
59,5,d,yes
60,1,a,yes
61,1,b,yes
62,2,d,yes
63,3,b,yes
64,1,d,yes
65,4,d,yes
66,4,c,yes
67,1,d,yes
68,1,c,yes
69,1,a,no
70,1,d,yes
71,1,a,yes
72,3,b,yes
73,1,a,yes
74,2,c,no
75,1,d,yes
76,1,b,yes
77,4,d,yes
78,2,c,yes
79,4,b,yes
80,4,c,yes
81,1,c,yes
82,1,d,no
83,1,c,yes
84,1,c,no
85,1,a,yes
86,1,d,yes
87,3,b,no
88,1,c,no
89,1,d,yes
90,2,d,no
91,1,d,yes
92,5,b,yes
93,5,a,yes
94,1,c,yes
95,1,a,yes
96,4,d,yes
97,4,c,yes
98,1,d,no
99,4,c,no
100,4,d,yes
101,4,c,no
102,5,d,no
103,1,c,yes
104,5,d,yes
105,5,d,yes
106,4,c,yes
107,4,d,yes
108,5,c,no
109,1,d,yes
110,5,a,no
111,5,c,yes
112,5,c,no
113,5,b,no
114,3,d,no
115,3,d,no
116,1,d,no
117,5,c,no
118,5,b,no
119,1,d,yes
120,3,a,no
121,1,b,no
122,1,b,no
123,1,c,yes
124,5,d,yes
125,1,d,yes
126,1,c,yes
127,4,d,yes
128,4,d,no
129,3,d,yes
130,1,d,yes
131,1,c,no
132,1,b,no
133,1,c,no
134,5,d,no
135,1,d,yes
136,3,d,no
137,4,b,yes
138,3,d,yes
139,1,a,yes
140,1,b,yes
141,4,d,yes
142,1,b,no
143,3,d,yes
144,5,c,yes
145,2,c,yes
146,4,c,yes
147,1,b,yes
148,1,d,no
149,1,d,yes
150,1,d,yes
151,2,d,no
152,1,b,yes
153,1,d,yes
154,1,d,yes
155,5,c,no
156,5,c,yes
157,4,c,yes
158,1,c,no
159,4,d,no
160,5,d,yes
161,1,c,no
162,1,c,yes
163,1,d,yes
